"feature","charted","n","mean","median","sd","min","max"
"danceability",0,125127,0.57847,0.589,0.16803,0,0.987
"danceability",1,3618,0.61212,0.612,0.14291,0.144,0.986
"energy",0,125127,0.6393,0.678,0.23174,0,1
"energy",1,3618,0.704,0.728,0.17079,0.0811,0.996
"valence",0,125127,0.49824,0.498,0.23969,0,0.995
"valence",1,3618,0.52157,0.52,0.22224,0.0371,0.975
"tempo",0,125127,119.1629,118.729,31.01875,0,248.06
"tempo",1,3618,122.89686,121.245,30.02551,59.409,213.885
"loudness",0,125127,-8.04283,-7.014,4.15682,-60,3.515
"loudness",1,3618,-5.84565,-5.486,2.21163,-19.661,-0.463
"acousticness",0,125127,0.26208,0.125,0.29835,0,0.996
"acousticness",1,3618,0.15991,0.0738,0.20226,0,0.966
"speechiness",0,125127,0.12643,0.0545,0.15525,0,0.969
"speechiness",1,3618,0.09418,0.0487,0.0996,0.0225,0.74
"instrumentalness",0,125127,0.06296,0,0.1992,0,0.998
"instrumentalness",1,3618,0.00795,0,0.06219,0,0.909
"liveness",0,125127,0.25314,0.154,0.23006,0,1
"liveness",1,3618,0.18703,0.129,0.14667,0.0162,0.993
