"era","feature","coefficient","std_error","z_value","p_value","odds_ratio","significant","n_total","n_top10"
"1999-2002","danceability",-0.0207,0.133,-0.1557,0.8763,0.9795,FALSE,709,147
"1999-2002","energy",-0.2351,0.1448,-1.6232,0.1045,0.7905,FALSE,709,147
"1999-2002","valence",0.3178,0.1312,2.4219,0.0154,1.3741,TRUE,709,147
"1999-2002","tempo",-0.2503,0.1096,-2.284,0.0224,0.7786,TRUE,709,147
"1999-2002","loudness",0.3986,0.1371,2.907,0.0036,1.4897,TRUE,709,147
"1999-2002","acousticness",-0.1329,0.1324,-1.0034,0.3157,0.8756,FALSE,709,147
"1999-2002","speechiness",-0.1995,0.127,-1.5717,0.116,0.8191,FALSE,709,147
"1999-2002","instrumentalness",0.09,0.0618,1.4561,0.1454,1.0942,FALSE,709,147
"1999-2002","liveness",-0.076,0.1075,-0.707,0.4796,0.9268,FALSE,709,147
"2003-2006","danceability",0.4185,0.1126,3.7161,2e-04,1.5196,TRUE,867,165
"2003-2006","energy",0.0122,0.151,0.081,0.9354,1.0123,FALSE,867,165
"2003-2006","valence",-0.2312,0.1161,-1.9918,0.0464,0.7936,TRUE,867,165
"2003-2006","tempo",-0.0297,0.0945,-0.3143,0.7533,0.9707,FALSE,867,165
"2003-2006","loudness",-0.0411,0.1311,-0.3133,0.7541,0.9598,FALSE,867,165
"2003-2006","acousticness",-0.0582,0.1102,-0.5276,0.5978,0.9435,FALSE,867,165
"2003-2006","speechiness",0.3179,0.0827,3.8446,1e-04,1.3742,TRUE,867,165
"2003-2006","instrumentalness",-0.2603,0.2224,-1.1703,0.2419,0.7708,FALSE,867,165
"2003-2006","liveness",-0.005,0.0925,-0.0539,0.9571,0.995,FALSE,867,165
"2007-2010","danceability",0.6154,0.1164,5.2873,0,1.8503,TRUE,861,168
"2007-2010","energy",-0.1772,0.1566,-1.1315,0.2579,0.8376,FALSE,861,168
"2007-2010","valence",-0.08,0.1113,-0.7192,0.472,0.9231,FALSE,861,168
"2007-2010","tempo",-0.069,0.1044,-0.661,0.5086,0.9333,FALSE,861,168
"2007-2010","loudness",0.3777,0.1512,2.4985,0.0125,1.459,TRUE,861,168
"2007-2010","acousticness",-0.3484,0.1312,-2.6556,0.0079,0.7058,TRUE,861,168
"2007-2010","speechiness",0.043,0.1086,0.396,0.6921,1.0439,FALSE,861,168
"2007-2010","instrumentalness",-0.0133,0.1178,-0.1127,0.9103,0.9868,FALSE,861,168
"2007-2010","liveness",0.1142,0.0885,1.2901,0.197,1.121,FALSE,861,168
"2011-2014","danceability",0.247,0.1431,1.7259,0.0844,1.2802,FALSE,643,123
"2011-2014","energy",-0.5976,0.1898,-3.1493,0.0016,0.5501,TRUE,643,123
"2011-2014","valence",0.1974,0.1251,1.5782,0.1145,1.2182,FALSE,643,123
"2011-2014","tempo",-0.1149,0.118,-0.9739,0.3301,0.8914,FALSE,643,123
"2011-2014","loudness",0.1193,0.1619,0.7366,0.4614,1.1267,FALSE,643,123
"2011-2014","acousticness",-0.2596,0.136,-1.9096,0.0562,0.7713,FALSE,643,123
"2011-2014","speechiness",-0.1064,0.1337,-0.7953,0.4265,0.8991,FALSE,643,123
"2011-2014","instrumentalness",0.0056,0.2013,0.028,0.9777,1.0056,FALSE,643,123
"2011-2014","liveness",0.2642,0.0939,2.8146,0.0049,1.3023,TRUE,643,123
"2015-2019","danceability",0.3848,0.153,2.5141,0.0119,1.4693,TRUE,494,85
"2015-2019","energy",-0.3269,0.2221,-1.4718,0.1411,0.7211,FALSE,494,85
"2015-2019","valence",0.3816,0.1513,2.5222,0.0117,1.4646,TRUE,494,85
"2015-2019","tempo",-0.0089,0.1286,-0.0692,0.9448,0.9911,FALSE,494,85
"2015-2019","loudness",0.046,0.1781,0.2585,0.796,1.0471,FALSE,494,85
"2015-2019","acousticness",-0.0981,0.1364,-0.7192,0.472,0.9065,FALSE,494,85
"2015-2019","speechiness",-0.0136,0.1082,-0.1261,0.8996,0.9865,FALSE,494,85
"2015-2019","instrumentalness",-0.2735,0.4843,-0.5647,0.5723,0.7607,FALSE,494,85
"2015-2019","liveness",-0.1161,0.1693,-0.6857,0.4929,0.8904,FALSE,494,85
