"Term","Estimate","Std_Error","z_value","p_value","Odds_Ratio"
"(Intercept)",2.918037,0.36759,7.9383,2.04998190037561e-15,18.504923
"danceability",1.193568,0.251368,4.7483,2.05146072426008e-06,3.298832
"energy",-1.532425,0.300627,-5.0974,3.44300859258208e-07,0.216011
"valence",-0.560323,0.169962,-3.2968,0.00097810054329402,0.571025
"tempo",0.003355,0.001056,3.1787,0.00147933792272109,1.003361
"loudness",0.284107,0.018312,15.5149,2.75028079443741e-54,1.328575
"acousticness",-0.967987,0.172569,-5.6093,2.03169275812605e-08,0.379847
"speechiness",-1.85651,0.289711,-6.4081,1.4730840781434e-10,0.156217
"instrumentalness",-3.31686,0.391518,-8.4718,2.41623127806074e-17,0.036267
"liveness",-1.574536,0.184169,-8.5494,1.23738533856371e-17,0.207104
