"pass","bill_name_raw","bill_artist_raw","attr_name_raw","attr_artist_raw","match_note"
2,"2 Reasons","Trey Songz","2 Reasons (feat. T.I.)","Trey Songz","normalize_title removes version tags + feat."
2,"24/7","Meek Mill","24/7 (feat. Ella Mai)","Meek Mill","normalize_title removes version tags + feat."
2,"2U","David Guetta","2U (feat. Justin Bieber)","David Guetta","normalize_title removes version tags + feat."
2,"4 Minutes","Madonna","4 Minutes (feat. Justin Timberlake and Timbaland) - Live","Madonna","normalize_title removes version tags + feat."
2,"4 Minutes","Madonna","4 Minutes (feat. Justin Timberlake and Timbaland)","Madonna","normalize_title removes version tags + feat."
2,"6 Inch","Beyonce","6 Inch (feat. The Weeknd)","Beyonce","normalize_title removes version tags + feat."
2,"After Dark","Drake","After Dark (feat. Static Major & Ty Dolla $ign)","Drake","normalize_title removes version tags + feat."
2,"Ain't No Rest For The Wicked","Cage The Elephant","Ain't No Rest for the Wicked - Live From The Vic In Chicago","Cage The Elephant","normalize_title removes version tags + feat."
2,"Ain't No Rest For The Wicked","Cage The Elephant","Ain't No Rest For The Wicked - Original Version","Cage The Elephant","normalize_title removes version tags + feat."
2,"Airplanes","B.o.B","Airplanes (feat. Hayley Williams)","B.o.B","normalize_title removes version tags + feat."
2,"Alive","P.O.D.","Alive - Acoustic Version","P.O.D.","normalize_title removes version tags + feat."
2,"All Eyes On You","Meek Mill","All Eyes on You (feat. Chris Brown & Nicki Minaj)","Meek Mill","normalize_title removes version tags + feat."
2,"All Eyez","The Game","All Eyez - Bonus Track","The Game","normalize_title removes version tags + feat."
2,"All I Have","Jennifer Lopez","All I Have (feat. LL Cool J)","Jennifer Lopez","normalize_title removes version tags + feat."
2,"All I Need","Fat Joe","All I Need (feat. Armageddon & Tony Sunshine)","Fat Joe","normalize_title removes version tags + feat."
2,"All I Want Is You","Miguel","All I Want Is You (feat. J. Cole)","Miguel","normalize_title removes version tags + feat."
2,"Ambition","Wale","Ambition (feat. Meek Mill & Rick Ross)","Wale","normalize_title removes version tags + feat."
2,"Amen","Meek Mill","Amen (feat. Drake)","Meek Mill","normalize_title removes version tags + feat."
2,"Anything","Jaheim","Anything (feat. Next)","Jaheim","normalize_title removes version tags + feat."
2,"Are We Cuttin'","Pastor Troy","Are We Cuttin' - Album Version (Main)","Pastor Troy","normalize_title removes version tags + feat."
